"fatsecret_food_id","food_name","calories","fat","carbohydrate","protein","fiber"
"30598882",Своя Лінія  Олія,18.00,2.00,0.00,0.00,
"104397048",Торт з вишнею,314.00,19.20,28.86,6.06,0.90
"48272217",Оселедець з цибулею 1:1,290.00,26.58,5.40,7.14,1.80
"60082749",Комо Сир Фета,79.00,6.30,3.00,1.86,
"17012998",Attuale Сочевиця Червона,178.00,0.55,30.05,12.35,6.00
"84955286",Dolce Gusto Cafe Au Lait,45.00,2.20,3.60,0.70,
"41615598",Roshen Dark Chocolate Original,154.00,8.73,15.72,1.71,
"28200189",АТБ Кабачок,24.00,0.30,4.60,0.60,1.00
"45639964",Премія Капуста Цвітна,40.00,0.90,3.00,3.60,2.50
"39110781",АТБ Морква,35.00,0.22,7.00,1.00,2.80
"40708889",АТБ Баклажан,24.00,0.10,4.50,1.20,3.00
"79160729",Наша Ряба Стегна «Айдахо» у Томатному Маринаді,236.00,17.25,0.00,20.10,
"96743898",Галицька Свіжина Ковбаса Рублена на Дровах,214.00,18.00,1.40,12.00,
"16944148",Торчин Кетчуп Чили,48.00,0.15,11.00,0.55,0.30
"23004121",Сильпо Багет Французский Люкс,134.00,0.50,28.25,4.30,
"19665743",Розумний Вибір Цукор,199.00,0.00,50.00,0.00,
"5404",Red Sour Cherries,100.00,0.60,24.36,2.00,3.20
"31242454",Cantorel Камамбер,292.00,24.00,0.00,19.00,
"98871576",Перший Хліб Пиріжок Смородинка,154.00,6.72,21.64,2.08,
